Ticket_ID,Linked_Break,System,Priority,Summary,Description,Created_On,Status,Assigned_To
ITSM7000,B30012,ReconciliationEngine,Low,SSI_Issue for trade T9038,"Detailed: IntegrationError. Steps: Investigate static data, verify custodian confirmation, check MQ queues, apply manual fix if required.",2025-03-05 10:40:43,Open,Custody Team
ITSM7001,B30021,TreasurySystem,Medium,Pricing_Mismatch for trade T9001,"Detailed: StaticDataError. Steps: Investigate static data, verify custodian confirmation, check MQ queues, apply manual fix if required.",2025-07-26 07:33:46,Open,Middleware
ITSM7002,B30007,PositionEngine,High,Pricing_Mismatch for trade T9044,"Detailed: ToleranceExceeded. Steps: Investigate static data, verify custodian confirmation, check MQ queues, apply manual fix if required.",2025-01-03 01:59:30,Resolved,GPM Support
ITSM7003,B30023,CAFeed,Critical,Quantity_Mismatch for trade T9002,"Detailed: IntegrationError. Steps: Investigate static data, verify custodian confirmation, check MQ queues, apply manual fix if required.",2025-06-26 13:27:08,Resolved,GPM Support
ITSM7004,B30027,SettlementHub,Critical,Cash_Break for trade T9035,"Detailed: SSI_Mismatch. Steps: Investigate static data, verify custodian confirmation, check MQ queues, apply manual fix if required.",2025-08-11 17:09:52,Open,Infra Team
ITSM7005,B30027,MQGateway,High,Cash_Break for trade T9035,"Detailed: SSI_Mismatch. Steps: Investigate static data, verify custodian confirmation, check MQ queues, apply manual fix if required.",2025-03-18 15:56:14,In Progress,Custody Team
ITSM7006,B30016,TreasurySystem,High,Documentation_Gap for trade T9043,"Detailed: AutoDetected. Steps: Investigate static data, verify custodian confirmation, check MQ queues, apply manual fix if required.",2025-07-23 06:15:13,Open,Infra Team
ITSM7007,B30025,CAFeed,Low,Pricing_Mismatch for trade T9026,"Detailed: AutoDetected. Steps: Investigate static data, verify custodian confirmation, check MQ queues, apply manual fix if required.",2025-01-22 17:43:19,Resolved,Infra Team
ITSM7008,B30025,CAFeed,Medium,Pricing_Mismatch for trade T9026,"Detailed: AutoDetected. Steps: Investigate static data, verify custodian confirmation, check MQ queues, apply manual fix if required.",2025-04-13 17:55:43,Resolved,Treasury Ops
ITSM7009,B30024,TreasurySystem,High,Feed_Delay for trade T9041,"Detailed: AutoDetected. Steps: Investigate static data, verify custodian confirmation, check MQ queues, apply manual fix if required.",2025-07-13 19:09:33,Resolved,Infra Team
ITSM7010,B30000,PositionEngine,Medium,Quantity_Mismatch for trade T9012,"Detailed: AutoDetected. Steps: Investigate static data, verify custodian confirmation, check MQ queues, apply manual fix if required.",2025-01-16 22:48:45,Pending RCA,Infra Team
ITSM7011,B30024,CAFeed,Medium,Feed_Delay for trade T9041,"Detailed: AutoDetected. Steps: Investigate static data, verify custodian confirmation, check MQ queues, apply manual fix if required.",2025-05-14 04:18:58,Pending RCA,Treasury Ops
ITSM7012,B30024,SSIService,High,Feed_Delay for trade T9041,"Detailed: AutoDetected. Steps: Investigate static data, verify custodian confirmation, check MQ queues, apply manual fix if required.",2025-07-30 03:29:38,Open,Custody Team
ITSM7013,B30019,CAFeed,High,Quantity_Mismatch for trade T9005,"Detailed: IntegrationError. Steps: Investigate static data, verify custodian confirmation, check MQ queues, apply manual fix if required.",2025-03-30 20:15:21,Resolved,Treasury Ops
ITSM7014,B30007,TreasurySystem,Low,Pricing_Mismatch for trade T9044,"Detailed: ToleranceExceeded. Steps: Investigate static data, verify custodian confirmation, check MQ queues, apply manual fix if required.",2025-01-29 13:46:30,Pending RCA,Treasury Ops
ITSM7015,B30024,ReconciliationEngine,Medium,Feed_Delay for trade T9041,"Detailed: AutoDetected. Steps: Investigate static data, verify custodian confirmation, check MQ queues, apply manual fix if required.",2025-08-15 17:06:14,In Progress,Treasury Ops
ITSM7016,B30003,PositionEngine,Medium,Feed_Delay for trade T9047,"Detailed: CA_Not_Applied. Steps: Investigate static data, verify custodian confirmation, check MQ queues, apply manual fix if required.",2025-05-12 19:39:45,Pending RCA,Custody Team
ITSM7017,B30005,ReconciliationEngine,Critical,Cash_Break for trade T9049,"Detailed: Insufficient_Funds. Steps: Investigate static data, verify custodian confirmation, check MQ queues, apply manual fix if required.",2025-01-02 16:56:46,In Progress,Custody Team
ITSM7018,B30023,SSIService,High,Quantity_Mismatch for trade T9002,"Detailed: IntegrationError. Steps: Investigate static data, verify custodian confirmation, check MQ queues, apply manual fix if required.",2025-07-30 17:32:25,Resolved,Treasury Ops
ITSM7019,B30017,CAFeed,Critical,Documentation_Gap for trade T9038,"Detailed: AutoDetected. Steps: Investigate static data, verify custodian confirmation, check MQ queues, apply manual fix if required.",2025-06-05 17:00:12,Resolved,Treasury Ops
ITSM7020,B30021,MQGateway,Medium,Pricing_Mismatch for trade T9001,"Detailed: StaticDataError. Steps: Investigate static data, verify custodian confirmation, check MQ queues, apply manual fix if required.",2025-04-30 03:32:19,In Progress,Infra Team
ITSM7021,B30006,PositionEngine,Medium,Quantity_Mismatch for trade T9026,"Detailed: AutoDetected. Steps: Investigate static data, verify custodian confirmation, check MQ queues, apply manual fix if required.",2025-08-30 04:01:18,Pending RCA,Custody Team
ITSM7022,B30009,TreasurySystem,High,Cash_Break for trade T9023,"Detailed: StaticDataError. Steps: Investigate static data, verify custodian confirmation, check MQ queues, apply manual fix if required.",2025-09-20 17:16:29,Pending RCA,Infra Team
ITSM7023,B30016,CAFeed,Critical,Documentation_Gap for trade T9043,"Detailed: AutoDetected. Steps: Investigate static data, verify custodian confirmation, check MQ queues, apply manual fix if required.",2025-07-27 09:36:15,Open,Infra Team
ITSM7024,B30022,SettlementHub,Critical,Pricing_Mismatch for trade T9016,"Detailed: AutoDetected. Steps: Investigate static data, verify custodian confirmation, check MQ queues, apply manual fix if required.",2025-04-17 17:16:32,In Progress,Custody Team
