Trade_ID,Scenario,Trade_Date,Trader,Desk,Instrument,Asset_Class,Quantity,Price,Currency,Counterparty,Book,Notes
T9000,SCEN1,2025-08-05 14:37:37,omar.khan,FI-EMEA,SPX_OPT,Equity,50,195.52,USD,CP012,Book4,
T9001,SCEN2,2025-08-10 06:04:15,omar.khan,Equities-APAC,MSFT.O,Equity,100,24.41,USD,CP007,Book4,
T9002,SCEN3,2025-02-08 13:59:34,joe.trader,Equities-APAC,JPM.N,Equity,500,19.52,EUR,CP001,Book6,
T9003,SCEN4,2025-03-30 12:28:50,maria.g,Equities-APAC,CDS_UK,Derivatives,500,276.78,USD,CP018,Book2,
T9004,SCEN5,2025-03-22 20:21:16,joe.trader,Equities-APAC,DBR.X,Equity,50,76.82,JPY,CP003,Book5,
T9005,SCEN1,2025-06-28 21:16:01,sara.r,FI-EMEA,GOVBOND10Y,Fixed Income,200,135.62,GBP,CP018,Book7,
T9006,SCEN2,2025-06-27 06:41:14,sara.r,Derivatives-APAC,CDS_UK,Derivatives,500,208.66,USD,CP011,Book7,
T9007,SCEN3,2025-08-26 12:53:58,sara.r,FX-NA,DBR.X,Equity,100,106.56,JPY,CP011,Book3,
T9008,SCEN4,2025-05-21 05:08:43,maria.g,FX-NA,CDS_UK,Derivatives,50,169.54,EUR,CP001,Book3,
T9009,SCEN5,2025-08-31 07:16:11,sara.r,FI-EMEA,SPX_OPT,Equity,1000,244.38,GBP,CP011,Book5,
T9010,SCEN1,2025-04-06 16:08:37,sara.r,Derivatives-APAC,MSFT.O,Equity,200,178.47,EUR,CP007,Book2,
T9011,SCEN2,2025-03-24 21:07:44,sara.r,FI-EMEA,NIKK.N,Equity,100,191.46,USD,CP004,Book5,
T9012,SCEN3,2025-06-18 12:04:27,li.chen,FI-EMEA,GOVBOND10Y,Fixed Income,100,280.97,JPY,CP005,Book6,
T9013,SCEN4,2025-09-02 02:14:13,li.chen,Derivatives-APAC,JPM.N,Equity,200,223.71,GBP,CP006,Book1,
T9014,SCEN5,2025-07-18 01:16:03,omar.khan,FX-NA,CDS_UK,Derivatives,100,75.96,EUR,CP001,Book7,
T9015,SCEN1,2025-05-18 02:15:28,sara.r,Derivatives-APAC,GOVBOND10Y,Fixed Income,1000,110.41,JPY,CP003,Book2,
T9016,SCEN2,2025-04-30 10:42:53,omar.khan,Derivatives-APAC,GOVBOND10Y,Fixed Income,1000,138.87,JPY,CP004,Book7,
T9017,SCEN3,2025-09-02 02:18:48,sara.r,FI-EMEA,NIKK.N,Equity,100,289.21,USD,CP011,Book2,
T9018,SCEN4,2025-02-27 08:06:49,sara.r,Equities-APAC,AAPL.O,Equity,500,197.18,EUR,CP009,Book3,
T9019,SCEN5,2025-08-27 13:08:53,joe.trader,Equities-APAC,CDS_UK,Derivatives,50,256.84,JPY,CP010,Book2,
T9020,SCEN1,2025-09-21 11:11:51,li.chen,Equities-APAC,EURUSDSPOT,FX,200,184.17,GBP,CP010,Book5,
T9021,SCEN2,2025-04-14 06:32:58,maria.g,Derivatives-APAC,MSFT.O,Equity,200,63.47,JPY,CP001,Book7,
T9022,SCEN3,2025-07-26 09:30:12,li.chen,Equities-APAC,EURUSDSPOT,FX,1000,142.46,GBP,CP012,Book4,
T9023,SCEN4,2025-01-20 00:22:21,maria.g,Equities-APAC,AAPL.O,Equity,50,263.61,GBP,CP016,Book5,
T9024,SCEN5,2025-05-24 16:16:28,maria.g,FX-NA,SPX_OPT,Equity,50,79.75,USD,CP005,Book5,
T9025,SCEN1,2025-09-29 03:40:48,joe.trader,FX-NA,NIKK.N,Equity,500,274.65,JPY,CP004,Book6,
T9026,SCEN2,2025-07-09 16:42:57,maria.g,FX-NA,NIKK.N,Equity,50,217.37,USD,CP001,Book6,
T9027,SCEN3,2025-01-03 14:01:15,omar.khan,Equities-APAC,DBR.X,Equity,200,94.48,JPY,CP018,Book3,
T9028,SCEN4,2025-08-22 08:34:38,li.chen,FI-EMEA,CDS_UK,Derivatives,200,195.87,EUR,CP009,Book1,
T9029,SCEN5,2025-09-13 23:38:51,omar.khan,FI-EMEA,JPM.N,Equity,500,266.23,EUR,CP020,Book7,
T9030,SCEN1,2025-02-12 07:13:49,maria.g,FI-EMEA,AAPL.O,Equity,500,219.34,JPY,CP009,Book2,
T9031,SCEN2,2025-01-23 07:10:51,sara.r,FI-EMEA,EURUSDSPOT,FX,500,246.09,EUR,CP007,Book1,
T9032,SCEN3,2025-07-20 01:12:48,omar.khan,FX-NA,EURUSDSPOT,FX,50,99.99,USD,CP002,Book3,
T9033,SCEN4,2025-02-22 18:09:39,li.chen,FX-NA,NIKK.N,Equity,50,65.25,USD,CP005,Book1,
T9034,SCEN5,2025-02-24 01:45:42,li.chen,Derivatives-APAC,CDS_UK,Derivatives,50,46.08,EUR,CP004,Book5,
T9035,SCEN1,2025-01-21 01:06:12,sara.r,FI-EMEA,AAPL.O,Equity,100,226.91,USD,CP011,Book2,
T9036,SCEN2,2025-09-04 17:08:00,sara.r,Derivatives-APAC,USDJPYSPOT,FX,200,41.97,EUR,CP006,Book3,
T9037,SCEN3,2025-08-04 10:38:25,maria.g,FI-EMEA,NIKK.N,Equity,100,187.59,JPY,CP006,Book5,
T9038,SCEN4,2025-07-01 20:43:15,li.chen,FI-EMEA,AAPL.O,Equity,200,133.44,EUR,CP002,Book7,
T9039,SCEN5,2025-05-12 00:13:50,li.chen,FI-EMEA,USDJPYSPOT,FX,200,271.42,GBP,CP015,Book5,
T9040,SCEN1,2025-09-04 03:34:37,maria.g,Derivatives-APAC,DBR.X,Equity,50,121.95,USD,CP012,Book2,
T9041,SCEN2,2025-02-14 00:12:40,sara.r,Equities-APAC,MSFT.O,Equity,1000,104.88,JPY,CP003,Book7,
T9042,SCEN3,2025-05-01 20:37:09,joe.trader,Derivatives-APAC,SPX_OPT,Equity,200,98.49,USD,CP019,Book2,
T9043,SCEN4,2025-08-21 04:04:23,li.chen,FX-NA,GOVBOND10Y,Fixed Income,50,104.83,JPY,CP007,Book5,
T9044,SCEN5,2025-02-16 13:42:29,li.chen,Equities-APAC,SPX_OPT,Equity,50,282.88,JPY,CP004,Book2,
T9045,SCEN1,2025-09-29 20:56:19,sara.r,Derivatives-APAC,DBR.X,Equity,100,98.94,GBP,CP016,Book1,
T9046,SCEN2,2025-04-20 20:06:45,li.chen,Equities-APAC,EURUSDSPOT,FX,100,294.49,USD,CP005,Book6,
T9047,SCEN3,2025-05-02 03:50:32,omar.khan,Derivatives-APAC,CDS_UK,Derivatives,100,39.43,GBP,CP016,Book5,
T9048,SCEN4,2025-02-18 21:06:28,maria.g,FX-NA,MSFT.O,Equity,200,91.89,USD,CP012,Book7,
T9049,SCEN5,2025-04-30 03:48:35,maria.g,FI-EMEA,DBR.X,Equity,100,134.52,GBP,CP008,Book6,
